City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
501,yanchep,-31.55,115.6833,14.78,61,100,2.4,AU,1729542431
502,tsiombe,-25.3,45.4833,22.59,82,6,8.63,MG,1729542432
503,molina,-35.1167,-71.2833,22.85,93,0,4.12,CL,1729542434
504,san luis de la loma,17.2706,-100.8939,29.21,76,47,2.54,MX,1729542435
505,nagqu,31.5,92.0,-4.91,23,0,1.43,CN,1729542436
506,codrington,-38.2667,141.9667,15.25,52,62,2.66,AU,1729542437
507,ploudalmezeau,48.5333,-4.65,10.21,100,20,3.09,FR,1729542439
508,usogorsk,63.4106,48.6872,7.01,91,100,2.72,RU,1729542440
509,salinas,36.6777,-121.6555,23.24,67,0,3.43,US,1729542283
510,priob'ye,62.5206,65.5964,-0.32,90,13,1.5,RU,1729542442
511,port sudan,19.6175,37.2164,29.08,67,0,4.26,SD,1729542443
512,vallenar,-28.5708,-70.7581,25.13,23,0,4.89,CL,1729542444
513,kijang,35.2442,129.2139,17.85,96,100,7.64,KR,1729542445
514,leninskoye,41.7589,69.3864,13.44,39,95,3.36,KZ,1729542447
515,puerto colombia,10.9878,-74.9547,29.05,77,100,5.94,CO,1729542448
516,batangafo,7.3008,18.2833,23.4,90,100,1.24,CF,1729542450
517,rio grande,-32.035,-52.0986,23.26,77,0,4.65,BR,1729542246
518,sokolovyy,51.5686,45.8331,5.87,93,14,2.7,RU,1729542452
519,ulanhot,46.0833,122.0833,0.64,59,1,5.12,CN,1729542453
520,hennaya,34.9514,-1.3681,16.76,77,0,0.0,DZ,1729542454
521,montepuez,-13.1256,38.9997,23.43,67,15,3.08,MZ,1729542455
522,naze,28.3667,129.4833,25.51,85,49,4.47,JP,1729542457
523,madhoganj,27.1167,80.15,24.56,53,0,2.76,IN,1729542459
524,nelson bay,-32.7167,152.15,15.0,86,100,4.92,AU,1729542460
525,koratagere,13.5228,77.2331,20.86,94,100,2.99,IN,1729542461
526,saint-francois,46.4154,3.9054,19.25,71,0,2.06,FR,1729542462
527,xacmaz,41.4635,48.806,9.25,79,100,5.48,AZ,1729542463
528,sao sebastiao do paraiso,-20.9169,-46.9914,22.98,83,100,2.89,BR,1729542464
529,shengli,37.4564,118.4856,13.23,67,100,1.3,CN,1729542465
530,kralendijk,12.15,-68.2667,31.99,62,20,6.69,BQ,1729542467
531,el calafate,-50.3408,-72.2768,11.56,57,0,7.83,AR,1729542469
532,karbala,32.616,44.0249,19.28,25,0,4.77,IQ,1729542470
533,nyamuswa,-1.9,34.0167,18.95,85,76,0.89,TZ,1729542471
534,itaporanga,-7.3044,-38.1503,35.58,20,98,4.69,BR,1729542472
535,pemalang,-6.9,109.3667,26.47,73,100,1.12,ID,1729542473
536,ponta delgada,37.7333,-25.6667,18.44,68,20,3.09,PT,1729542476
537,saudarkrokur,65.7461,-19.6394,0.5,99,100,5.34,IS,1729542477
538,rongelap,11.1635,166.8941,25.97,86,100,5.59,MH,1729542478
539,jean-rabel,19.8533,-73.1917,28.78,73,100,4.0,HT,1729542479
540,caister-on-sea,52.6481,1.7265,9.95,76,100,3.93,GB,1729542481
541,natal,-5.795,-35.2094,28.12,65,20,6.69,BR,1729542082
542,weno,7.4515,151.8468,27.97,83,100,3.6,FM,1729542483
543,surgut,61.25,73.4167,0.1,93,75,4.0,RU,1729542484
544,kayangel,8.0823,134.7173,29.14,79,100,11.13,PW,1729542485
545,newman,37.3138,-121.0208,26.7,29,0,1.34,US,1729542487
546,mount isa,-20.7333,139.5,15.87,44,0,0.0,AU,1729542488
547,valentin gomez farias,28.2167,-106.5833,27.09,27,8,3.89,MX,1729542489
548,kotel'nich,58.3089,48.348,6.97,84,100,3.29,RU,1729542490
549,moose jaw,50.4001,-105.5344,14.15,44,75,8.75,CA,1729542491
550,vengurla,15.8667,73.6333,26.14,85,100,1.37,IN,1729542492
551,bayanaul,50.7889,75.6956,4.24,69,83,0.93,KZ,1729542493
552,sur,22.5667,59.5289,27.45,79,76,4.5,OM,1729542494
553,pekanbaru,0.5333,101.45,27.18,89,46,0.0,ID,1729542495
554,shibata,37.95,139.3333,12.93,71,99,1.54,JP,1729542497
555,pursat,12.3333,103.6667,21.6,87,100,0.8,KH,1729542498
556,axim,4.8699,-2.2405,25.53,88,62,3.12,GH,1729542499
557,coalcoman de vazquez pallares,18.7833,-103.15,24.19,82,100,0.19,MX,1729542500
558,swakopmund,-22.6833,14.5333,13.32,84,2,2.78,NA,1729542501
559,mar del plata,-38.0023,-57.5575,21.08,77,50,4.47,AR,1729542381
